document_code,document_title,business_area,document_category,current_file_name,format,current_file_name,current_relative_path,document_status,document_owner,backup_owner,confidentiality,access_level,keywords,rag_ingestion_priority,rag_content_type,metadata_quality_status,related_documents,next_review_date,notes
BSF-CORP-001,Corporate Profile,Corporate,Corporate reference,BSF-CORP-001_Corporate_Profile.docx,PDF,BSF-CORP-001_Corporate_Profile.docx,,Planned,Corporate Affairs Manager,Quality Management Coordinator,Internal Use,All employees,"corporate profile, company overview, BlueSea Foods, business units, mission, governance",High,Corporate reference,Pending file generation,BSF-CORP-002; BSF-CORP-004; BSF-DOC-STD-001,2027-07-21,PDF-listed document will be delivered as DOCX under the updated project rule.
BSF-CORP-002,Corporate Glossary,Corporate,Corporate reference,BSF-CORP-002_Corporate_Glossary.pdf; BSF-CORP-002_Corporate_Glossary.md,PDF + Markdown,BSF-CORP-002_Corporate_Glossary.pdf; BSF-CORP-002_Corporate_Glossary.md,corporate/,Generated,Corporate Affairs Manager,Document Control Specialist,Internal Use,All employees,"glossary, corporate terms, seafood operations, quality terms, acronyms",High,Glossary,Metadata complete,BSF-CORP-001; BSF-DOC-STD-001; BSF-CORP-004,2027-07-21,Formal PDF retained; Markdown companion aligned with PDF and enriched with retrieval supplement.
BSF-DOC-STD-001,Corporate Document Standard,Corporate,Document control standard,BSF-DOC-STD-001_Corporate_Document_Standard.docx,PDF,BSF-DOC-STD-001_Corporate_Document_Standard.docx,,Planned,Document Control Specialist,Quality Management Coordinator,Internal Use,Document owners and approvers,"document standard, formatting, metadata, version control, keywords, confidentiality",High,Policy standard,Pending file generation,BSF-INV-001; BSF-INV-002; BSF-INV-004,2027-07-21,PDF-listed document will be delivered as DOCX under the updated project rule.
BSF-CORP-003,Corporate Organization Chart,Corporate,Corporate reference,BSF-CORP-003_Corporate_Organization_Chart.docx,PDF,BSF-CORP-003_Corporate_Organization_Chart.docx,,Planned,Human Resources Manager,Corporate Affairs Manager,Internal Use,All employees,"organization chart, reporting lines, departments, accountability, governance",Medium,Organizational reference,Pending file generation,BSF-CORP-001; BSF-CORP-004; BSF-INV-002,2027-07-21,PDF-listed document will be delivered as DOCX under the updated project rule.
BSF-CORP-004,Corporate Knowledge Map,Corporate,Knowledge management,BSF-CORP-004_Corporate_Knowledge_Map.pdf,PDF,BSF-CORP-004_Corporate_Knowledge_Map.pdf,corporate/BSF-CORP-004_Corporate_Knowledge_Map.pdf,Generated,Knowledge Management Lead,Document Control Specialist,Internal Use,Managers and document owners,"knowledge map, document domains, RAG sources, ownership, retrieval, taxonomy",High,Knowledge map,Metadata complete,BSF-CORP-001; BSF-INV-001; BSF-INV-003; BSF-INV-004,2027-07-21,"Knowledge map retained as PDF; use for routing and ownership, not primary conceptual answers."
BSF-HR-001,Employee Onboarding Guide,Human Resources,Employee guidance,BSF-HR-001_Employee_Onboarding_Guide.docx,PDF,BSF-HR-001_Employee_Onboarding_Guide.docx,,Planned,Human Resources Manager,HSE Coordinator,Internal Use,Employees and new hires,"onboarding, induction, new hires, HR, safety induction, company culture",High,Employee guide,Pending file generation,BSF-HR-002; BSF-HR-003; BSF-HSE-001; BSF-QMS-001,2027-07-21,PDF-listed document will be delivered as DOCX under the updated project rule.
BSF-HR-002,Employee FAQ,Human Resources,Employee guidance,BSF-HR-002_Employee_FAQ.md,Markdown,BSF-HR-002_Employee_FAQ.md,hr/BSF-HR-002_Employee_FAQ.md,Generated,Human Resources Manager,Payroll and Benefits Officer,Internal Use,All employees,"employee faq, HR questions, benefits, leave, payroll, policies",High,FAQ,Metadata complete,BSF-HR-001; BSF-HR-003; BSF-IT-002,2027-07-21,HR FAQ retained as main HR source; use with HR-004 and CORP-006 for labor questions.
BSF-HR-003,Leave and Benefits Policy,Human Resources,Policy,BSF-HR-003_Leave_and_Benefits_Policy.md,DOCX,BSF-HR-003_Leave_and_Benefits_Policy.md,BSF-HR-003_Leave_and_Benefits_Policy.md,Generated,Human Resources Manager,Payroll and Benefits Officer,Confidential - Internal,Employees and HR,"leave policy, benefits, payroll, absence, vacation, sick leave, employee welfare",High,Policy,Metadata complete,BSF-HR-001; BSF-HR-002; BSF-IT-002,2027-07-21,Generated as Markdown before the DOCX/PDF delivery rule update.
BSF-HSE-001,Workplace Safety Procedure,HSE,Procedure,BSF-HSE-001_Workplace_Safety_Procedure.md,DOCX,BSF-HSE-001_Workplace_Safety_Procedure.md,BSF-HSE-001_Workplace_Safety_Procedure.md,Generated,HSE Manager,Operations Manager,Internal Use,All operational employees and contractors,"workplace safety, PPE, hazards, incidents, inspections, emergency readiness, contractors",High,Procedure,Metadata complete,BSF-HSE-002; BSF-OPS-004; BSF-QMS-001,2027-07-21,Generated as Markdown for review; original final format was DOCX.
BSF-HSE-002,Emergency Response Guide,HSE,Emergency guide,BSF-HSE-002_Emergency_Response_Guide.md,PDF,BSF-HSE-002_Emergency_Response_Guide.md,BSF-HSE-002_Emergency_Response_Guide.md,Generated,HSE Manager,Emergency Response Coordinator,Internal Use,All employees and contractors,"emergency response, evacuation, fire, first aid, spill, cold chain incident, drills",High,Emergency guide,Metadata complete,BSF-HSE-001; BSF-OPS-001; BSF-OPS-004,2027-07-21,Generated as Markdown before the updated rule that PDF-listed documents should be delivered as DOCX.
BSF-OPS-001,Cold Chain Control Register,Operations,Operational register,BSF-OPS-001_Cold_Chain_Control_Register.xlsx,XLSX,BSF-OPS-001_Cold_Chain_Control_Register.xlsx,outputs/bsf_ops_001/BSF-OPS-001_Cold_Chain_Control_Register.xlsx,Generated,Cold Chain Supervisor,Quality Control Supervisor,Internal Use,Operations and QA,"cold chain, temperature control, receiving, storage, dispatch, corrective actions",High,Register,Metadata complete,BSF-OPS-004; BSF-HSE-002; BSF-QMS-003,2027-07-21,Excel register generated with control sheet and formulas.
BSF-OPS-002,Authorized Fishing Vessels,Operations,Operational master data,BSF-OPS-002_Authorized_Fishing_Vessels.csv,CSV,BSF-OPS-002_Authorized_Fishing_Vessels.csv,BSF-OPS-002_Authorized_Fishing_Vessels.csv,Generated,Sourcing Manager,Compliance Officer,Confidential - Internal,Procurement and compliance,"authorized vessels, sourcing, fishing zone, MSC, BASC, supplier approval, risk",High,Master data,Metadata complete,BSF-OPS-003; BSF-OPS-004; BSF-QMS-002,2027-07-21,CSV master data generated with fictitious authorized vessels.
BSF-OPS-003,Seafood Species Catalog,Operations,Operational master data,BSF-OPS-003_Seafood_Species_Catalog.json,JSON,BSF-OPS-003_Seafood_Species_Catalog.json,BSF-OPS-003_Seafood_Species_Catalog.json,Generated,Quality Control Supervisor,Sourcing Manager,Internal Use,Operations and QA,"seafood species, catalog, scientific names, temperature, HACCP, MSC, traceability",High,JSON catalog,Metadata complete,BSF-OPS-002; BSF-OPS-004; BSF-QMS-002,2027-07-21,JSON catalog generated and syntactically validated.
BSF-OPS-004,Seafood Receiving and Inspection Procedure,Operations,Procedure,BSF-OPS-004_Seafood_Receiving_and_Inspection_Procedure.md,PDF,BSF-OPS-004_Seafood_Receiving_and_Inspection_Procedure.md,BSF-OPS-004_Seafood_Receiving_and_Inspection_Procedure.md,Generated,Operations Manager,Quality Control Supervisor,Internal Use,Receiving team and QA,"seafood receiving, inspection, temperature, traceability, rejection, hold, HACCP",High,Procedure,Metadata complete,BSF-OPS-001; BSF-OPS-002; BSF-OPS-003; BSF-QMS-003,2027-07-21,Generated as Markdown before the updated rule that PDF-listed documents should be delivered as DOCX.
BSF-QMS-001,Quality Management Induction,Quality and Certifications,Training deck,BSF-QMS-001_Quality_Management_Induction.pptx,PPTX,BSF-QMS-001_Quality_Management_Induction.pptx,outputs/bsf_qms_001/BSF-QMS-001_Quality_Management_Induction.pptx,Generated,Quality Management Coordinator,Training Coordinator,Internal Use,All employees,"quality induction, ISO 9001, HACCP, BRCGS, IFS, SMETA, MSC, BASC",High,Training presentation,Metadata complete,BSF-QMS-002; BSF-QMS-003; BSF-HR-001,2027-07-21,PPTX generated and visually validated.
BSF-QMS-002,Certification and Compliance Overview,Quality and Certifications,Compliance overview,BSF-QMS-002_Certification_and_Compliance_Overview.docx,PDF,BSF-QMS-002_Certification_and_Compliance_Overview.docx,outputs/bsf_qms_002/BSF-QMS-002_Certification_and_Compliance_Overview.docx,Generated,Quality Management Coordinator,Compliance Officer,Internal Use,Managers and audit owners,"certification, compliance, ISO 9001, SMETA, HACCP, BRCGS, MSC, BASC, IFS Food",High,Compliance overview,Metadata complete,BSF-QMS-001; BSF-QMS-003; BSF-INV-004,2027-07-21,Delivered as DOCX under the updated rule for PDF-listed documents.
BSF-QMS-003,Corrective Action and Nonconformity Procedure,Quality and Certifications,Procedure,BSF-QMS-003_Corrective_Action_and_Nonconformity_Procedure.docx,PDF,BSF-QMS-003_Corrective_Action_and_Nonconformity_Procedure.docx,outputs/bsf_qms_003/BSF-QMS-003_Corrective_Action_and_Nonconformity_Procedure.docx,Generated,Quality Management Coordinator,Operations Manager,Confidential - Internal,Managers and process owners,"corrective action, nonconformity, CAPA, root cause, containment, verification, audit",High,Procedure,Metadata complete,BSF-QMS-002; BSF-OPS-004; BSF-INV-004,2027-07-21,Delivered as DOCX with official logo and visual validation.
BSF-IT-001,BlueTrack User Manual,Technology,User manual,BSF-IT-001_BlueTrack_User_Manual.html,HTML,BSF-IT-001_BlueTrack_User_Manual.html,outputs/bsf_it_001/BSF-IT-001_BlueTrack_User_Manual.html,Generated,IT Systems Lead,Document Control Specialist,Internal Use,Authorized system users,"BlueTrack, user manual, traceability, receiving, cold chain, document repository, reporting",High,HTML manual,Metadata complete,BSF-IT-002; BSF-OPS-001; BSF-OPS-004,2027-07-21,HTML manual generated with embedded logo and internal navigation.
BSF-IT-002,Corporate Systems Access Guide,Technology,Access guide,BSF-IT-002_Corporate_Systems_Access_Guide.docx,PDF,BSF-IT-002_Corporate_Systems_Access_Guide.docx,outputs/bsf_it_002/BSF-IT-002_Corporate_Systems_Access_Guide.docx,Generated,IT Systems Lead,Information Security Officer,Confidential - Internal,Employees with system access,"systems access, MFA, roles, permissions, onboarding, offboarding, temporary access, security",High,Access guide,Metadata complete,BSF-IT-001; BSF-HR-001; BSF-INV-005,2027-07-21,Delivered as DOCX under the updated rule for PDF-listed documents.
BSF-INV-001,Document Inventory,Document Control,Inventory,BSF-INV-001_Document_Inventory.csv,CSV,BSF-INV-001_Document_Inventory.csv,BSF-INV-001_Document_Inventory.csv,Generated,Document Control Specialist,Knowledge Management Lead,Internal Use,Document owners and RAG team,"document inventory, metadata, RAG sources, file status, ownership, keywords, ingestion",High,Inventory,Metadata complete,BSF-INV-002; BSF-INV-003; BSF-INV-004; BSF-INV-005,2027-07-21,This file is the master inventory for collection and RAG ingestion planning.
BSF-INV-002,Document Ownership Matrix,Document Control,Ownership matrix,BSF-INV-002_Document_Ownership_Matrix.xlsx,XLSX,BSF-INV-002_Document_Ownership_Matrix.xlsx,inventory/BSF-INV-002_Document_Ownership_Matrix.xlsx,Generated,Document Control Specialist,Department Managers,Internal Use,Document owners and approvers,"ownership matrix, accountable owner, reviewer, approver, document governance, escalation",High,Matrix,Metadata complete,BSF-INV-001; BSF-DOC-STD-001; BSF-CORP-003,2027-07-21,"Ownership matrix updated with new RAG, legal, HR, IT, operations and quality documents."
BSF-INV-003,Document Sources and Ingestion Plan,Document Control,RAG ingestion plan,BSF-INV-003_Document_Sources_and_Ingestion_Plan.md,Markdown,BSF-INV-003_Document_Sources_and_Ingestion_Plan.md,outputs/bsf_inv_003/BSF-INV-003_Document_Sources_and_Ingestion_Plan.md,Generated,Knowledge Management Lead,Document Control Specialist,Internal Use,RAG team and document owners,"document sources, ingestion plan, chunking, metadata, vector database, RAG, citations",High,Ingestion plan,Metadata complete,BSF-INV-001; BSF-INV-004; BSF-INV-005; BSF-CORP-004,2027-07-21,Markdown source generated for the RAG collection and ingestion workflow.
BSF-INV-004,Document Curation and Quality Criteria,Document Control,Curation criteria,BSF-INV-004_Document_Curation_and_Quality_Criteria.md,Markdown,BSF-INV-004_Document_Curation_and_Quality_Criteria.md,outputs/bsf_inv_004/BSF-INV-004_Document_Curation_and_Quality_Criteria.md,Generated,Quality Management Coordinator,Knowledge Management Lead,Internal Use,RAG team and document owners,"curation, quality criteria, metadata completeness, source quality, citations, version control",High,Curation criteria,Metadata complete,BSF-INV-001; BSF-INV-003; BSF-QMS-002; BSF-QMS-003,2027-07-21,Markdown source generated defining quality rules before ingestion.
BSF-INV-005,Access and Permissions Policy,Document Control,Access policy,BSF-INV-005_Access_and_Permissions_Policy.md,Markdown,BSF-INV-005_Access_and_Permissions_Policy.md,outputs/bsf_inv_005/BSF-INV-005_Access_and_Permissions_Policy.md,Generated,Information Security Officer,Document Control Specialist,Confidential - Internal,RAG team and system administrators,"access policy, permissions, confidentiality, RAG access, roles, data protection, security",High,Access policy,Metadata complete,BSF-INV-001; BSF-INV-003; BSF-IT-002; BSF-DOC-STD-001,2027-07-21,Markdown policy generated for document permissions and RAG access control.
BSF-CORP-005,Corporate Roadmap 2026,Corporate,Strategy roadmap,BSF-CORP-005_Corporate_Roadmap_2026.md,Markdown,BSF-CORP-005_Corporate_Roadmap_2026.md,corporate/BSF-CORP-005_Corporate_Roadmap_2026.md,Generated,Corporate Affairs Manager,Knowledge Management Lead,Internal Use,Managers and document owners,"corporate roadmap, 2026 strategy, digitalization, compliance roadmap, knowledge base, RAG development",Medium,Strategy roadmap,Metadata complete,BSF-CORP-001; BSF-CORP-004; BSF-CORP-006,2027-07-24,Markdown roadmap stored in corporate folder.
BSF-CORP-006,Frequently Asked Questions,Corporate,FAQ / Knowledge base,BSF-CORP-006_Frequently_Asked_Questions.md,Markdown,BSF-CORP-006_Frequently_Asked_Questions.md,corporate/BSF-CORP-006_Frequently_Asked_Questions.md,Generated,Knowledge Management Lead,Document Control Specialist,Internal Use,All employees,"FAQ, preguntas frecuentes, HACCP, cold chain, login, BlueTrack, HR, labor, legal, compliance",Very High,FAQ,Metadata complete,BSF-CORP-002; BSF-QMS-004; BSF-OPS-005; BSF-IT-004; BSF-HR-004; BSF-LEGAL-001,2027-07-24,Priority FAQ source for conceptual employee and RAG questions.
BSF-COM-001,Internal Communication Guidelines,Corporate,Communication guidelines,BSF-COM-001_Internal_Communication_Guidelines.md,Markdown,BSF-COM-001_Internal_Communication_Guidelines.md,corporate/BSF-COM-001_Internal_Communication_Guidelines.md,Generated,Corporate Affairs Manager,Compliance Officer,Internal Use,All employees,"internal communication, official channels, announcements, social media, authority requests, document sharing",Medium,Guideline,Metadata complete,BSF-CORP-006; BSF-LEGAL-001; BSF-DOC-STD-001,2027-07-24,"Supports communication, public statement and document-sharing questions."
BSF-QMS-004,Food Safety and HACCP Management Manual,Quality and Certifications,Food safety manual,BSF-QMS-004_Food_Safety_and_HACCP_Management_Manual.md,Markdown,BSF-QMS-004_Food_Safety_and_HACCP_Management_Manual.md,quality/BSF-QMS-004_Food_Safety_and_HACCP_Management_Manual.md,Generated,Quality Management Coordinator,Operations Manager,Internal Use,"Operations, QA and managers","HACCP, food safety, CCP, critical limit, hazard analysis, deviation, corrective action, BRCGS, IFS Food",Very High,Manual,Metadata complete,BSF-QMS-005; BSF-OPS-005; BSF-CORP-006; BSF-CORP-002,2027-07-24,Main source for HACCP and food safety questions.
BSF-QMS-005,HACCP and Food Safety Quick Answers,Quality and Certifications,Quick answers,BSF-QMS-005_HACCP_and_Food_Safety_Quick_Answers.md,Markdown,BSF-QMS-005_HACCP_and_Food_Safety_Quick_Answers.md,quality/BSF-QMS-005_HACCP_and_Food_Safety_Quick_Answers.md,Generated,Quality Management Coordinator,Knowledge Management Lead,Internal Use,All employees,"HACCP quick answers, food safety, CCP, critical limit, deviation, monitoring, corrective action",Very High,Quick answers,Metadata complete,BSF-QMS-004; BSF-CORP-006; BSF-CORP-002; BSF-OPS-005,2027-07-24,Retrieval-optimized companion for HACCP concepts.
BSF-OPS-005,Cold Chain and Freezing Procedure,Operations,Procedure,BSF-OPS-005_Cold_Chain_and_Freezing_Procedure.md,Markdown,BSF-OPS-005_Cold_Chain_and_Freezing_Procedure.md,operations/BSF-OPS-005_Cold_Chain_and_Freezing_Procedure.md,Generated,Cold Chain Supervisor,Quality Control Supervisor,Internal Use,Operations and QA,"cold chain, freezing, chilled product, frozen product, storage temperature, transport temperature, temperature deviation, BlueTrack Cold Chain Module",Very High,Procedure,Metadata complete,BSF-OPS-001; BSF-OPS-004; BSF-QMS-004; BSF-QMS-005; BSF-IT-004,2027-07-24,"Primary source for cold chain, freezing and temperature conceptual questions."
BSF-IT-003,Data Security and API Guidelines,Technology,Security guideline,BSF-IT-003_Data_Security_and_API_Guidelines.md,Markdown,BSF-IT-003_Data_Security_and_API_Guidelines.md,it/BSF-IT-003_Data_Security_and_API_Guidelines.md,Generated,Information Security Officer,IT Systems Lead,Confidential - Internal,"IT, RAG team and authorized users","data security, API, credentials, logs, integrations, personal data, confidential information, incident reporting",High,Security guideline,Metadata complete,BSF-IT-002; BSF-IT-004; BSF-LEGAL-001; BSF-INV-005,2027-07-24,Security and API source for technical and privacy questions.
