document_code,document_title,keywords,vessel_id,vessel_name,registration_number,flag_country,home_port,owner_operator,authorization_status,authorization_start,authorization_end,authorized_species,fishery_area,msc_chain_of_custody_relevance,basc_security_screening,food_safety_risk_level,last_audit_date,next_review_date,required_documents,status_notes
BSF-OPS-002,Authorized Fishing Vessels,"authorized fishing vessels; supplier approval; seafood sourcing; vessel traceability; MSC Chain of Custody; BASC; HACCP; BRCGS Food Safety; IFS Food; cold chain; responsible sourcing",VES-0001,FV Pacific Star,PE-PAI-1045,Peru,Paita,Pacific Harvest S.A.C.,Authorized,2026-01-01,2026-12-31,Mahi-mahi,FAO 87 Eastern Pacific,Yes,Completed,Medium,2026-03-12,2026-09-12,"Vessel license; sanitary permit; supplier declaration; catch documentation; traceability records; security screening","Approved for chilled and frozen supply."
BSF-OPS-002,Authorized Fishing Vessels,"authorized fishing vessels; supplier approval; seafood sourcing; vessel traceability; MSC Chain of Custody; BASC; HACCP; BRCGS Food Safety; IFS Food; cold chain; responsible sourcing",VES-0002,FV Norte Azul,PE-TAL-2098,Peru,Talara,Mar Azul Norte E.I.R.L.,Authorized,2026-01-15,2026-12-31,Tuna,FAO 87 Eastern Pacific,No,Completed,Medium,2026-04-02,2026-10-02,"Vessel license; sanitary permit; supplier declaration; catch documentation; temperature records","Approved with routine temperature verification."
BSF-OPS-002,Authorized Fishing Vessels,"authorized fishing vessels; supplier approval; seafood sourcing; vessel traceability; MSC Chain of Custody; BASC; HACCP; BRCGS Food Safety; IFS Food; cold chain; responsible sourcing",VES-0003,FV Brisa Marina,PE-SEC-3310,Peru,Sechura,Brisa Marina Fishing S.A.C.,Authorized,2026-02-01,2027-01-31,Scallops,Sechura Bay,Yes,Completed,Low,2026-02-18,2026-08-18,"Aquaculture harvest authorization; sanitary permit; supplier declaration; batch traceability records; cold-chain records","Approved for certified traceability batches."
BSF-OPS-002,Authorized Fishing Vessels,"authorized fishing vessels; supplier approval; seafood sourcing; vessel traceability; MSC Chain of Custody; BASC; HACCP; BRCGS Food Safety; IFS Food; cold chain; responsible sourcing",VES-0004,FV Costa Clara,PE-PAI-1187,Peru,Paita,Costa Clara Pesquera S.A.C.,Conditional,2026-02-10,2026-08-10,Squid,FAO 87 Eastern Pacific,No,Pending Renewal,High,2026-02-25,2026-08-01,"Vessel license; sanitary permit; supplier declaration; catch documentation; corrective action plan","Conditional until BASC screening renewal is closed."
BSF-OPS-002,Authorized Fishing Vessels,"authorized fishing vessels; supplier approval; seafood sourcing; vessel traceability; MSC Chain of Custody; BASC; HACCP; BRCGS Food Safety; IFS Food; cold chain; responsible sourcing",VES-0005,FV Santa Rosa,PE-CHI-4421,Peru,Chimbote,Santa Rosa Marine S.A.C.,Authorized,2026-01-01,2026-12-31,Anchovy,FAO 87 Eastern Pacific,No,Completed,Medium,2026-03-05,2026-09-05,"Vessel license; sanitary permit; supplier declaration; catch documentation; landing records","Approved for non-MSC raw material only."
BSF-OPS-002,Authorized Fishing Vessels,"authorized fishing vessels; supplier approval; seafood sourcing; vessel traceability; MSC Chain of Custody; BASC; HACCP; BRCGS Food Safety; IFS Food; cold chain; responsible sourcing",VES-0006,FV Ocean Pride,EC-MAN-5107,Ecuador,Manta,Ocean Pride Fisheries Ltd.,Authorized,2026-03-01,2027-02-28,Tuna,FAO 87 Eastern Pacific,Yes,Completed,Medium,2026-04-20,2026-10-20,"Vessel license; sanitary permit; supplier declaration; catch certificate; MSC eligibility evidence; security screening","Approved for import lots subject to document review."
BSF-OPS-002,Authorized Fishing Vessels,"authorized fishing vessels; supplier approval; seafood sourcing; vessel traceability; MSC Chain of Custody; BASC; HACCP; BRCGS Food Safety; IFS Food; cold chain; responsible sourcing",VES-0007,FV Deep Current,PE-ILO-2276,Peru,Ilo,Deep Current S.A.C.,Authorized,2026-02-15,2027-02-14,Mackerel,FAO 87 Eastern Pacific,No,Completed,Low,2026-05-11,2026-11-11,"Vessel license; sanitary permit; supplier declaration; catch documentation; landing records","Approved for frozen raw material."
BSF-OPS-002,Authorized Fishing Vessels,"authorized fishing vessels; supplier approval; seafood sourcing; vessel traceability; MSC Chain of Custody; BASC; HACCP; BRCGS Food Safety; IFS Food; cold chain; responsible sourcing",VES-0008,FV Blue Horizon,PE-PAI-3012,Peru,Paita,Blue Horizon Pesca S.A.C.,Authorized,2026-01-20,2027-01-19,Mahi-mahi,FAO 87 Eastern Pacific,Yes,Completed,Medium,2026-03-30,2026-09-30,"Vessel license; sanitary permit; supplier declaration; catch documentation; chain-of-custody declaration","Approved for MSC-relevant lots when certificate is attached."
BSF-OPS-002,Authorized Fishing Vessels,"authorized fishing vessels; supplier approval; seafood sourcing; vessel traceability; MSC Chain of Custody; BASC; HACCP; BRCGS Food Safety; IFS Food; cold chain; responsible sourcing",VES-0009,FV Mar del Norte,PE-TUM-1770,Peru,Tumbes,Mar del Norte E.I.R.L.,Conditional,2026-04-01,2026-10-01,Shrimp,Tumbes Coastal Zone,No,Completed,High,2026-04-14,2026-07-31,"Vessel license; sanitary permit; supplier declaration; catch documentation; corrective action evidence","Conditional due to pending food safety corrective action verification."
BSF-OPS-002,Authorized Fishing Vessels,"authorized fishing vessels; supplier approval; seafood sourcing; vessel traceability; MSC Chain of Custody; BASC; HACCP; BRCGS Food Safety; IFS Food; cold chain; responsible sourcing",VES-0010,FV Horizonte Sur,PE-ILO-6198,Peru,Ilo,Horizonte Sur Fishing S.A.C.,Authorized,2026-01-01,2026-12-31,Jack mackerel,FAO 87 Eastern Pacific,No,Completed,Low,2026-02-07,2026-08-07,"Vessel license; sanitary permit; supplier declaration; catch documentation; temperature records","Approved."
BSF-OPS-002,Authorized Fishing Vessels,"authorized fishing vessels; supplier approval; seafood sourcing; vessel traceability; MSC Chain of Custody; BASC; HACCP; BRCGS Food Safety; IFS Food; cold chain; responsible sourcing",VES-0011,FV Isla Blanca,PE-SEC-2455,Peru,Sechura,Isla Blanca Seafood S.A.C.,Authorized,2026-03-10,2027-03-09,Scallops,Sechura Bay,Yes,Completed,Low,2026-03-21,2026-09-21,"Aquaculture harvest authorization; sanitary permit; supplier declaration; batch traceability records; chain-of-custody declaration","Approved for traceable scallop lots."
BSF-OPS-002,Authorized Fishing Vessels,"authorized fishing vessels; supplier approval; seafood sourcing; vessel traceability; MSC Chain of Custody; BASC; HACCP; BRCGS Food Safety; IFS Food; cold chain; responsible sourcing",VES-0012,FV Coral Wave,PE-PAI-4119,Peru,Paita,Coral Wave Marine S.A.C.,Authorized,2026-02-01,2027-01-31,Squid,FAO 87 Eastern Pacific,No,Completed,Medium,2026-05-05,2026-11-05,"Vessel license; sanitary permit; supplier declaration; catch documentation; landing records","Approved."
BSF-OPS-002,Authorized Fishing Vessels,"authorized fishing vessels; supplier approval; seafood sourcing; vessel traceability; MSC Chain of Custody; BASC; HACCP; BRCGS Food Safety; IFS Food; cold chain; responsible sourcing",VES-0013,FV Bahía Serena,PE-PAI-3822,Peru,Paita,Bahía Serena Fishing S.A.C.,Authorized,2026-01-05,2027-01-04,Mahi-mahi,FAO 87 Eastern Pacific,Yes,Completed,Medium,2026-04-18,2026-10-18,"Vessel license; sanitary permit; supplier declaration; catch documentation; traceability records","Approved."
BSF-OPS-002,Authorized Fishing Vessels,"authorized fishing vessels; supplier approval; seafood sourcing; vessel traceability; MSC Chain of Custody; BASC; HACCP; BRCGS Food Safety; IFS Food; cold chain; responsible sourcing",VES-0014,FV Luna del Pacífico,PE-TAL-2901,Peru,Talara,Luna Pacífico S.A.C.,Authorized,2026-03-01,2027-02-28,Tuna,FAO 87 Eastern Pacific,No,Completed,Medium,2026-05-16,2026-11-16,"Vessel license; sanitary permit; supplier declaration; catch documentation; security screening","Approved."
